id,url,scraped_date,headline,body
d3472703-4fa0-4dfc-9664-cb41de500e97,https://www.alandsradio.ax/nyheter/aland-nekas-handlingar-pa-svenska-efter-domstolsbeslut,2026-05-06,Åland nekas handlingar på svenska efter domstolsbeslut,"Vasa förvaltningsdomstol avslår landskapsregeringens besvär om att de inte fick handlingar på svenska i ett ärende om en ny fiskodling i Skärgårdshavet. Det var år 2023 som Nordic Trout sökte om tillstånd för en ny fiskodling i Skärgårdshavet, två kilometer utanför Ålands territorium. Innan tillståndet beviljades begärde tillståndsmyndigheten, regionförvaltningsverket i södra Finland, ett utlåtande från Åland. Handlingarna skickades bara på finska och det lämnade LR in besvär emot, de ville ha en översättning till svenska. Men Vasa förvaltningsdomstols slutsats är att en regional eller lokal statsmyndighet bara behöver använda svenska om Åland hör till deras verksamhetsområde. Och eftersom den planerade fiskodlingen ligger utanför Ålands gräns så gäller inte den skyldigheten. Landskapsregeringen och en privatperson hade dessutom sökt ändring i tillståndsbeslutet på basis av verksamhetens utsläpp. Förvaltningsdomstolen ansåg att verksamhetens skadliga påverkan på miljön var ringa och avslog besvären."
a3d4d5d6-7405-4c69-b799-247f74f6549d,https://www.alandsradio.ax/nyheter/inga-stora-skador-efter-branden-vid-restaurang-fyren,2026-05-06,Inga stora skador efter branden vid restaurang Fyren,"Det uppstod endast mindre skador under nattens brand utanför restaurang Fyren. Jakob Grajewskisom driver restaurangen medJessica Westerlundsäger att det är en del sotskador och ett par trasiga fönster vid entrén som man måste åtgärda, men verksamheten kan fortsätta som vanligt tack vare att det inte blev några rökskador inomhus. – Det är en tråkig start för oss, men det kunde ha gått betydligt värre, säger Jakob Grajewski. Polisen har inlett utredningsarbetet och försäkringsbolaget har också inspekterat skadorna. Vad branden beror på är ännu oklart. Räddningsledare i beredskapTed Anderssonsäger att det var ett plastbord som brann vilket upptäcktes av en förbipasserande som larmade om branden. – Polisen var först på plats och de släckte branden. Sedan var räddningsverket dit också, berättar Andersson."
567ec675-f689-4bad-93e9-85898b937b5e,https://www.alandsradio.ax/nyheter/medaljer-for-alandska-islandshastryttare,2026-05-06,Medaljer för åländska islandshästryttare,Islandshästryttarna Heini och Helmi Lindqvist fick med sig medaljer hem frånen tävling i Sandviken i Sverige nyligen. Heini Lindqvist deltog i en världsrankingtävling med hästen Dimma och ekipaget vann stilpassklassen PP1och blev fyra i F1 femgång. Helmi Lindqvist deltog i en nivå 4-tävling med hästen Títan och i sin åldersklass vann de fyrgångsklassen V5. De tog också en andraplacering i T8 tölt.
8efb1c8f-7b49-4daa-a05a-9955bd010bad,https://www.alandsradio.ax/nyheter/landskapet-vill-samordna-kommunernas-byggplanering,2026-05-06,Landskapet vill samordna kommunernas byggplanering,"Landskapsregeringen vill ta över kommunöversikterna från kommunerna. En kommunöversikt är en översikt som görs upp av kommunen till vägledning för beslut i plan- och byggfrågor. – I dag används inte kommunöversikter som tänkt och vi bedömer att den bättre kan genomföras hos oss, sägerGustav Blomberg, byråchef på allmänna byrån på infrastrukturavdelningen. En av fördelarna med att landskapet tar över översikten är att om en kommun till exempel planerar ett industriområde eller ett bostadsområde så är landskapet med från början och kan i ett tidigt skede planera till exempel väganslutning till landskapets vägar. – Som det är nu kan vi i värsta fall få ett trafikproblem som vi får lösa i efterhand, säger han."
b2c10058-f01a-456b-885f-002d6da1eb59,https://www.alandsradio.ax/nyheter/forbattrat-kvartalsresultat-for-birka-gotland-1,2026-05-06,Förbättrat kvartalsresultat för Birka Gotland,"Birka Gotland visar ett förbättrat resultat för januari–mars jämfört med samma period i fjol. Det skriver Gotlandsbolagets vdBjörn Nilssoni en kommentar till koncernens kvartalsrapport som publicerades i dag onsdag. Uppgången för Birka Gotland beror framför allt på de åtgärder som genomförts under fjolåret för att effektivisera verksamheten. – Vi ser även en viss positiv utveckling för ombordförsäljning per passagerare, skriver Nilsson. Antalet passagerare var lite färre än under fjolårets första kvartal och det beror på att en dockning gjordes. Gotlandsbolaget i stort gjorde ett justerat rörelseresultat på - 192,7 miljoner euro, en försämring från fjolåret då kvartalsunderskottet var 177,3 miljoner euro. Björn Nilsson konstaterar att det första kvartalet är lågsäsong och därmed var det väntat med ett negativa siffror. Nu förbereder man sig inför högsäsong och när det gäller Birka Gotland är Gotlandsbolaget särskilt glada för att Visbykryssningarna har mycket goda bokningssiffror."
6b8a683f-6069-479e-8eca-c1dc0c84189e,https://www.alandsradio.ax/nyheter/okad-omsattning-men-lagre-vinst-for-finnlines-under-forsta-kvartalet,2026-05-06,Ökad omsättning men lägre vinst för Finnlines under första kvartalet,"Finnlines omsättning för årets första kvartal steg med sju procent till 176,9 miljoner euro. Det berättar rederiet i ett pressmeddelande. Samtidigt försämrades rörelseresultatet en aning. Det uppgick till 32,8 miljoner euro under första kvartalet. VdThomas Doepelförklarar det svagare resultatet med konflikten i Mellanöstern. USA:s och Israels attack mot Iran och den påföljande stängningen av Hormuzsundet har stört oljemarknaden kraftigt. – För Finnlines syntes detta omedelbart i form av kraftiga uppgångar i bränslepriserna och ökad prisvolatilitet, säger Doepel. Han konstaterar även att EU:s system för utsläppshandel från och med i år innebär att fartyg ska täcka 100 procent av sina utsläpp, vilket också det medför betydande kostnader. Kostnadsökningarna till trots beskriver Doepel bolagets finansiella ställning som stark. Under årets första kvartal reste 162 000 privatpassagerare och yrkesförare med Finnlines."
62095018-bd36-4bc0-9592-8bea58a2ee06,https://www.alandsradio.ax/nyheter/enklingebor-att-inte-fa-ringa-till-farjan-ar-problematiskt,2026-05-06,Enklingebor: Att inte få ringa till färjan är problematiskt,"Det orsakar problem för Kumlinge- och Enklingebor när man inte längre ska ringa direkt till skärgårdsfärjan. Det lyfter trafikarbetsgruppen i Kumlinge i en insändare i lokaltidningarna i dag. En boende på Enklinge har också skickat en skrivelse direkt tillIda Mannsom är byråchef på transportbyrån. Skribenterna pekar bland annat på att man tidigare avbokat via mess eller samtal till färjan när webbokningen varit stängd. Det kan ha handlat om att man blivit sjuk och inte kunnat åka på jobb, eller att barnen haft så mycket läxor att de behövt stanna hemma från kvällsaktiviteter på Kumlinge. “Nu får vi antingen tvinga iväg barnen eller så får vi böter för no show”, konstaterar skribenterna. De lyfter också problem för jordbrukare då det inte går att boka tunga fordon på webben. Om det lovas gynnsamt väder för höarbete under en helg har man tidigare ringt färjan och bokat in traktor med balmaskin. Nu får höarbetet vänta tills Ålandstrafiken öppnar på måndag, menar skribenterna. InfrastrukturministerCamilla Gunell(S) sade under lagtingets frågestund i onsdags att landskapet jobbar med att ta fram riktlinjer för när färjan alternativt Ålandstrafiken ska kontaktas. Hon sade också att det inte finns några förbud mot att kontakta en brygga."
abfd37cd-8450-4f1c-9777-52af6d65dfb2,https://www.alandsradio.ax/nyheter/nattlig-brand-vid-restaurang-fyren,2026-05-06,Nattlig brand vid restaurang Fyren,"En brand uppstod strax utanför restaurangen Fyren på torget i Mariehamn natten till onsdagen. Räddningsledare i beredskapTed Anderssonberättar att det var ett plastbord som brann och en förbipasserande larmade. – Polisen var först på plats och de släckte branden. Sedan var räddningsverket dit också, berättar Andersson. Själva restaurangen fick enligt Andersson mindre skador på fasaden. Polisen ska nu utreda hur branden kan ha uppstått."
51b40d7c-2bba-4a44-9464-94f726c725be,https://www.alandsradio.ax/nyheter/nu-har-godbykorsningen-bullerremsor-forsta-testet-pa-aland,2026-05-06,Nu har Godbykorsningen bullerremsor – första testet på Åland,"Nu har så kallade bullerremsor installerats i Godbykorsningen.Åtgärden gjordes under tisdagen och är en av de förbättringar som föreslogs i den utredning landskapsregeringen lät göra om korsningen i fjol. Bullerremsorna fästs 50 meter från korsningen i backen tvärs över grupperingsfältet från Mariehamnshållet mot Godby. VägmästareRobert Karlssonförklarar att bilen burrar till då man kör över remsorna. Tanken är att få ner farten och att bilisten ska få ökad uppmärksamhet på den kommande väjningsplikten i korsningen. Det är första gången bullerremsor används på Åland. – Vi har valt att göra ett försök då det är ett billigt alternativ som är lätt att sätta dit. Faller det inte väl ut är de lätta att ta bort, säger Karlsson. Bullerremsorna har fästs på prov, men om försöket blir lyckat blir de en permanent lösning."
069e8e1b-1273-4326-924e-5a5bb547e96a,https://www.alandsradio.ax/nyheter/finstrom-vill-klargora-kostnadsansvar-for-vattenskydd,2026-05-06,Finström vill klargöra kostnadsansvar för vattenskydd,"Finström vill diskutera vilket kostnadsansvar Ålands vatten Ab har för åtgärder inom vattenskyddsområden. Det kan till exempel handla om kostnader för nivåhöjningar i Markusbölefjärden och Långsjön samt åtgärder i avloppsnätet för att minska risken för läckage till vattentäkterna. Inför Ålands vattens bolagsstämma önskar man att det här förs in som en punkt på agendan. Råvattentäkterna Långsjön och Markusbölefjärden ligger delvis respektive helt i Finström, och kommunen har flera gånger framhållit att bolagets intressenter gemensamt bör betala för åtgärder som syftar till att trygga tillgången på råvatten. Finström vill att stämman skall ge Ålands vattens styrelse i uppdrag att ta fram principer för hur kostnader kan fördelas i framtiden."
72601b3a-2319-43f2-91cd-9a09f67aaa1b,https://yle.fi/a/74-20221652,2026-05-06,Tutkivan journalismin vuoden 2025 Lumilapio-palkinnon finalistit on valittu,"Kolme Ylen juttukokonaisuutta on ehdolla valtakunnallisessa kategoriassa. Tutkivan journalismin yhdistys on nimennyt vuoden 2025 Lumilapio-palkinnon ehdokkaat. Yhdistys sai tänä vuonna yli 70 ehdotusta. Ehdolla on nyt yhteensä yhdeksän juttukokonaisuutta, kuusi valtakunnallisessa ja kolme paikallis-alueellisessa kategoriassa. Tutkivan journalismin yhdistys sanoo tiedotteessaan, että useimpien juttukokonaisuuksien kohdalla on hyödynnetty kansainvälistä yhteistyötä, mikä on paitsi ilahduttavaa nykyään välttämättömyys. – Järjestäytynyt rikollisuus ja talouden hämärät virrat eivät pysähdy Suomen rajoille, eivätkä ne pysähdy Euroopankaan rajoille, sanoo Tutkivan journalismin yhdistyksen puheenjohtaja **Olli Pietiläinen**. Yhdistys julkistaa Lumilapio-palkinnon voittajat iltatilaisuudessa 13. toukokuuta."
